URL,Name,Citation,Department,Title,Edu1,Edu2,Edu3,PhD_School,PhD_Major,BA_School,BA_Country,US or Not,Rank,Current
https://www.gsb.stanford.edu/faculty-research/faculty/juliane-begenau,Juliane Begenau,1591,Finance,Associate Professor of Finance,"PhD, Economics, Stanford University, 2014","Economics, Humboldt-University of Berlin, 2008",,Stanford,Economics,Humboldt-University of Berlin,Germany,Non-USA,Associate,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/jonathan-bendor,Jonathan Bendor,8557,Political Economy,The Walter and Elise Haas Professor of Political Economics and Organizations,"PhD, UC Berkeley, 1980","MA, UC Berkeley, 1973","BA, UC Berkeley, 1972",Berkeley,,Berkeley,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/lanier-benkard,Lanier Benkard,,Economics,The Gregor G. Peterson Professor and Professor of Economics,"PhD in Economics, Yale University, 1998","MPhil in Economics, Yale University, 1996","MA in Economics, University of Toronto, 1991",Yale,Economics,University of Toronto,Canada,Non-USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/justin-berg,Justin M. Berg,6456,Organizational Behavior,Assistant Professor of Organizational Behavior,"PhD, Management, The Wharton School, University of Pennsylvania, 2015","BA, Organizational Studies and Psychology, University of Michigan",,UPENN,Management,University of Michigan,USA,USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/jonathan-b-berk,Jonathan B. Berk,16439,Finance,The A.P. Giannini Professor of Finance,"PhD, Yale University, 1990","MA, MPhil, Yale University, 1989","BA in Physics, Rice University, 1984",Yale,,Rice,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/anne-beyer,Anne Beyer,4349,Accounting,The Staehelin Family Professor of Accounting,"PhD, Northwestern University, Kellogg School of Management, 2006","Diplom Kauffrau, University of Stuttgart, 2001",,Northwestern,,University of Stuttgart,Germany,Non-USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/kostas-bimpikis,Kostas Bimpikis,2883,"Operations, Information & Technology","Professor of Operations, Information & Technology",,,,MIT,Operations Research,National Technical University of Athens,Greece,Non-USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/steven-callander,Steven Callander,2552,Political Economy,The Herbert Hoover Professor of Public and Private Management and Professor of Political Economy,"PhD in Social Science, California Institute of Technology, 2002","MS in Social Science, California Institute of Technology, 1999","BCommerce (1st Class Honours), Economics and Finance, University of New South Wales, Sydney, Australia, 1996",California Institute of Technology,Social Science,University of New South Wales,Australia,Non-USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/modibo-khane-camara,Modibo Khane Camara,,Economics,Assistant Professor of Economics,"PhD in Economics, Northwestern University, 2022","BA in Economics, University of Pennsylvania, 2016",,Northwestern,Economics,UPENN,USA,USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/glenn-r-carroll,Glenn R. Carroll,35704,Organizational Behavior,The Adams Distinguished Professor of Management,"PhD, Stanford University","MA, Stanford University","BA, Indiana University",Stanford,,Indiana University,USA,USA,Full,Stanford
